show_id,note_seq,note
"2005-06-20_-_Doug_Fir_Lounge_-_Portland,_OR",1,Jeff McLeod from The Double played the drums on songs 11 through 13.
"2002-11-03_-_The_Grog_Shop_-_Cleveland,_OH",1,Songs 1 through 7 were performed by John Darnielle solo; bassist Peter Hughes joined John for the remainder of the set.
"2010-04-18_-_The_Rosemount_Hotel_-_Perth,_Australia",1,John 's solo set was songs 7 through 10.
"2005-10-13_-_Open_End_Gallery_-_Chicago,_IL",1,Songs 10—14 and 16 were played with Franklin Bruno on piano.
"2010-05-30_-_Doug_Fir_Lounge_-_Portland,_OR",1,Song 12 was played on piano.
"1996-09-02_-_Tokyo_Rose_-_Charlottesville,_VA",1,Alastair Galbraith played on songs 16 and 17.
"1996-09-02_-_Tokyo_Rose_-_Charlottesville,_VA",2,"The version of "" Black Molly "" played at this show was released on "" In Release City ""."
"2010-06-02_-_The_Rickshaw_Theatre_-_Vancouver,_British_Columbia",1,Songs 1 through 4 were played solo by John .
"1997-06-16_-_Club_Laga_-_Pittsburgh,_PA",1,"John planned to play more songs, including "" West Country Dream "", "" Sept 19th Triple X Love! Love! "", and "" Snow Crush Killing Song ""."
"2013-08-10_-_Kings_Barcade_-_Raleigh,_NC",1,This was part of a show with comedian Rob Delaney .
"2006-09-30_-_Bowery_Ballroom_-_New_York,_NY",1,Songs 10—15 and 17 featured Franklin Bruno on piano.
"2006-09-30_-_Bowery_Ballroom_-_New_York,_NY",2,"Songs 8, 9, and 13—15 featured Erik Friedlander on cello."
"2010-06-07_-_Macewan_Hall_-_Calgary,_Alberta",1,Songs 7 through 9 were played solo by John .
"1992-12-06_-_Munchie's_-_Pomona,_CA",1,Songs 8 and 9 were played on John 's Panasonic RX-FT500 boombox.
"1992-12-06_-_Munchie's_-_Pomona,_CA",2,Songs 10 through 15 were played with Franklin Bruno as the Extra Glenns .
